ID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
10051895,0.78,-0.59,-0.17,-0.54,-0.55,0.58,0.42,0.77,-0.78,-0.8,-1.41,-1.62
10051896,-1.65,-1.19,-1.23,-1.7,-2.15,-1.58,-1.7,-2.29,-2.91,-2.88,-2.63,-3.39
10051897,-3.49,-2.86,-1.58,-1.63,-2.22,-3.12,-3.49,-2.75,-3.65,-4.05,-4.41,-4.13
10051898,-4.16,-4.61,-5.13,-4.57,-5.37,-5.43,-4.99,0.85,0.61,0.93,1.62,1.21
10051899,1.45,1.79,-0.02,-0.65,-1.62,-2.25,-1.95,-2.23,-3.12,-3.07,-3.2,-2.92
10051900,-3.12,1.12,0.97,1.83,1.06,3.04,2.67,1.99,1.66,2.24,1.87,1.74
10051901,1.51,1.23,1.15,1.28,1.53,-0.34,-1.15,1.54,1.83,1.4,0.79,1.46
10051902,0.93,1.47,2.13,-0.67,-1.46,-2.7,-3.82,-4.15,-3.74,-3.23,-3.01,-2.61
10051903,-2.76,1.6,1.1,0.45,1.15,1.47,-0.23,-0.14,-0.78,-1,-1.42,-1.83
10051904,-1.85,-2,-2.58,-2.91,-2.96,-3,-2.87,-2.09,-2.86,-3.5,-3.45,-3.39
10051905,-2.78,-1.65,-2.33,-2.42,-2,-1.58,-1.63,-1,-1.43,-0.84,-1.46,-0.96
10051906,-0.96,-1.61,-0.7,-1.76,-1.47,-1.58,0.71,0.48,1.9,2.31,-0.38,-0.64
10051907,-1.65,-1.68,-2.69,0.64,2.05,1.64,1.28,0.84,1.33,0.87,1.6,1.93
10051908,1.49,1.91,-0.69,-0.44,-0.01,-0.27,-0.39,-0.62,-1.14,-1.32,-2.05,-2.32
10051909,-3.18,0.67,1.25,1.45,2.12,3.16,-0.06,-0.31,-0.62,-0.84,-1.82,-1.76
10051910,-2.05,-1.7,-3.1,-3.27,-0.01,1.14,1.83,-0.25,-0.77,-0.61,-1.02,-1.41
10051911,-1.54,-2.1,-3,-1.99,-2.33,-2.49,-2.12,-1.61,-2.19,-2.11,0.22,0.95
10051912,1.19,1.05,1.89,3.01,2.45,2.63,2.39,2.93,2.88,2.64,1.96,2.19
10051913,2.19,2.14,2.7,-0.63,-0.83,-0.89,-1.07,-1.74,-0.74,-0.63,-1.4,-1.86
10051914,-2.6,-2.56,-2.88,-2.89,-3.62,-4.3,-4.72,-3.67,-3.04,-2.7,-2.37,-2.11
10051915,-1.56,-1.47,-1.93,-3,-2.54,-2.51,-2.48,-2.02,-1.86,-1.13,-1.24,-0.78
10051916,-1.17,-1.38,-2.11,-2.41,-2.12,-2.07,3.91,-0.07,-0.46,-0.74,-1.04,-1.11
10051917,0.38,0.43,1.09,-0.38,-0.67,-0.88,0.1,0.65,1.39,-0.07,-0.67,-1.43
10051918,0.78,-0.97,-2.57,-1.77,-2.21,-2.22,-2.51,-2.74,0.16,1.68,2.08,2.11
10051919,2.1,2.44,2.4,1.73,2.41,2.23,2.52,3.52,2.44,2.45,2.48,2.83
10051920,2.95,2.37,2.51,3.46,3.42,3.27,2.96,3.73,-0.17,-0.61,-0.71,0.86
10051921,-0.65,-0.58,-1.16,-0.49,-1.08,-2.01,-2.36,-2.53,-3.21,-3.15,-3.21,-3.59
10051922,0.46,0.52,1.48,1.03,1.74,-0.11,-0.47,-0.89,-1.7,-1.81,-2.41,-1.93
10051923,-2.11,0.22,0.26,0.5,2.1,1.9,1.78,2.5,-0.75,-0.76,0.45,0.39
10051924,0.92,-0.13,-0.8,0.21,0.51,0.66,-0.44,-1.06,-1.15,-1.92,-2.99,-2.35
10051925,-0.62,-1.17,-2.01,-2.91,-3.34,-4.03,-4.23,-5.04,-5.53,0.83,1.05,0.63
