"","lon","lat","State","StateCode","StateDivision","Division"
"0",-106.71714367,33.938093,"New Mexico",29,2905,5
"1",-105.74390138,34.15538636,"New Mexico",29,2906,6
"2",-116.63291081,48.22680867,"Idaho",10,1001,1
"3",-116.27666774,46.37762026,"Idaho",10,1002,2
"4",-115.32602778,45.23709612,"Idaho",10,1004,4
"5",-116.29819734,43.67619563,"Idaho",10,1005,5
"6",-114.24837717,42.88453531,"Idaho",10,1007,7
"7",-115.86625601,42.46134002,"Idaho",10,1006,6
"8",-111.99481217,42.95372589,"Idaho",10,1010,10
"9",-113.59925099,44.49000876,"Idaho",10,1008,8
"10",-123.90152502,47.40381142,"Washington",45,4501,1
"11",-122.48504183,47.16434922,"Washington",45,4504,4
"12",-122.75386658,48.26951813,"Washington",45,4502,2
"13",-122.45803841,47.75784169,"Washington",45,4503,3
"14",-120.71436339,47.48759046,"Washington",45,4506,6
"15",-121.53680081,47.40610902,"Washington",45,4505,5
"16",-119.4899642,46.61477172,"Washington",45,4508,8
"17",-119.16649195,47.86911006,"Washington",45,4507,7
"18",-118.00218807,48.357056,"Washington",45,4509,9
"19",-117.56217176,46.68282412,"Washington",45,4510,10
"20",-113.75818746,35.70438952,"Arizona",2,201,1
"21",-110.76825806,35.60476606,"Arizona",2,202,2
"22",-113.93985466,33.20375858,"Arizona",2,205,5
"23",-112.55386901,34.599883,"Arizona",2,203,3
"24",-112.07050532,33.18575984,"Arizona",2,206,6
"25",-110.81166886,33.7997255,"Arizona",2,204,4
"26",-110.60387505,32.26780058,"Arizona",2,207,7
"27",-87.26996075,34.6623918,"Alabama",1,101,1
"28",-87.47719878,33.45037078,"Alabama",1,103,3
"29",-86.40728874,34.21001699,"Alabama",1,102,2
"30",-86.1348095,33.68445014,"Alabama",1,104,4
"31",-85.73760005,33.00183306,"Alabama",1,105,5
"32",-87.09728914,32.41924696,"Alabama",1,106,6
"33",-86.70060584,31.58919666,"Alabama",1,107,7
"34",-87.93238876,30.75746849,"Alabama",1,108,8
"35",-93.72899619,36.13264144,"Arkansas",3,301,1
"36",-92.19670086,36.00248196,"Arkansas",3,302,2
"37",-90.91933655,35.81822959,"Arkansas",3,303,3
"38",-93.78290981,35.17029621,"Arkansas",3,304,4
"39",-92.67424542,34.73575135,"Arkansas",3,305,5
"40",-91.10739641,34.80698336,"Arkansas",3,306,6
"41",-92.76246729,33.60056296,"Arkansas",3,308,8
"42",-91.63020264,33.6823122,"Arkansas",3,309,9
"43",-93.85339449,33.87710011,"Arkansas",3,307,7
"44",-75.46565493,38.8274445,"Delaware",7,702,2
"45",-75.64478558,39.58353575,"Delaware",7,701,1
"46",-85.53676567,30.49537787,"Florida",8,801,1
"47",-82.48761966,29.97643178,"Florida",8,802,2
"48",-81.77591891,28.80243722,"Florida",8,803,3
"49",-83.26389345,31.38871376,"Georgia",9,908,8
"50",-84.48599613,31.42943588,"Georgia",9,907,7
"51",-81.90273799,31.49058563,"Georgia",9,909,9
"52",-84.63169827,33.00086912,"Georgia",9,904,4
"53",-83.2819474,32.86807189,"Georgia",9,905,5
"54",-82.03579934,32.87369428,"Georgia",9,906,6
"55",-85.07150472,34.45554148,"Georgia",9,901,1
"56",-84.09349072,34.26463857,"Georgia",9,902,2
"57",-81.53718388,27.68647687,"Florida",8,804,4
"58",-81.06499317,26.34733792,"Florida",8,805,5
"59",-80.24510033,26.26552463,"Florida",8,806,6
"60",-80.92585904,24.96592255,"Florida",8,807,7
"61",-89.81093152,41.7853751,"Illinois",11,1101,1
